user;num_events;total_turns;classification_by_event;classification_by_turns;strategies
255ba6daa;1;10;1;1;[1]
221fa6dd0;3;5;2;1;[11, 3, 8]
238ea6e12;2;19;1;2;[8, 4]
133fa6f18;3;6;2;1;[1, 8, 7]
179ba6f10;5;12;2;1;[8, 5, 5, 8, 8]
216da6f17;3;41;2;2;[8, 4, 7]
112aa6f70;2;24;1;2;[8, 7]
192da6f17;0;0;0;0;[]
165ba6f18;2;14;1;1;[8, 5]
167da6e16;4;46;2;2;[4, 4, 5, 4]
240aa6dd0;4;36;2;2;[4, 0, 3, 7]
252aa6f1a;2;12;1;1;[0, 5]
149ca6f7d;1;15;1;2;[7]
96ca6de4;0;0;0;0;[]
170aa6f18;5;15;2;2;[5, 1, 9, 9, 3]
119ea6f19;1;11;1;1;[5]
69ca6f07;2;6;1;1;[3, 3]
212aa6dd4;1;7;1;1;[5]
105fa6f16;0;0;0;0;[]
196ba6f1d;0;0;0;0;[]
249ba6f1e;2;2;1;1;[8, 8]
46ba6e0f;0;0;0;0;[]
180da6f23;1;8;1;1;[5]
146ba6f07;0;0;0;0;[]
64ba6daf;3;7;2;1;[8, 1, 7]
65ba6f16;0;0;0;0;[]
37aa6f19;3;44;2;2;[5, 0, 7]
139ba6e12;1;3;1;1;[6]
19ba6f1a;1;3;1;1;[7]
223ba6e12;0;0;0;0;[]
184fa6dd7;4;32;2;2;[5, 5, 5, 8]
181ea6e15;2;27;1;2;[8, 5]
196ea6dd0;3;6;2;1;[8, 8, 8]
64ba6f17;0;0;0;0;[]
128aa6e10;3;12;2;1;[9, 8, 7]
196da6f1f;1;17;1;2;[7]
208ba6f0b;1;2;1;1;[7]
49da6f1c;0;0;0;0;[]
122da6e13;3;38;2;2;[8, 8, 5]
66fa6dcf;1;2;1;1;[1]
186fa6f73;2;2;1;1;[2, 8]
106ea6f1a;2;8;1;1;[5, 7]
47da6f6c;4;11;2;1;[2, 8, 2, 4]
47ca6f17;3;24;2;2;[8, 5, 3]
74ea6f16;0;0;0;0;[]
144aa6ddc;3;54;2;2;[9, 5, 9]
140ea6f70;5;42;2;2;[6, 8, 4, 9, 7]
204ba6f1b;3;12;2;1;[0, 9, 7]
177fa6f76;6;60;2;2;[2, 9, 8, 5, 8, 7]
65da6f18;0;0;0;0;[]
177ea6dd1;3;6;2;1;[8, 9, 9]
203ca6f0b;4;49;2;2;[4, 0, 0, 3]
17ea6f07;1;2;1;1;[8]
179ca6f17;1;2;1;1;[0]
60da6f1d;1;7;1;1;[7]
190ba6f17;0;0;0;0;[]
185ca6dd9;0;0;0;0;[]
208fa6f1b;3;21;2;2;[8, 2, 8]
68fa6e15;2;60;1;2;[8, 7]
40ca6f6c;1;25;1;2;[7]
106da6f07;4;15;2;2;[8, 8, 5, 7]
45fa6f16;3;4;2;1;[8, 8, 7]
168ca6e0e;1;5;1;1;[5]
182ba6f07;0;0;0;0;[]
112ca6f0c;1;4;1;1;[5]
123da6e12;3;14;2;1;[4, 8, 7]
94ba6e0f;2;13;1;1;[10, 4]
116ba6e1d;2;15;1;2;[8, 0]
73ba6f1a;1;11;1;1;[5]
39da6e12;3;6;2;1;[4, 4, 4]
130ea6dd6;3;11;2;1;[11, 11, 4]
170ba6e11;1;13;1;1;[9]
155aa6e13;3;10;2;1;[9, 4, 4]
34fa6f15;0;0;0;0;[]
84da6f6b;2;14;1;1;[0, 9]
68ca6ddc;2;9;1;1;[5, 4]
88ba6dd3;3;7;2;1;[4, 8, 8]
115da6e0e;0;0;0;0;[]
237ba6f1e;1;2;1;1;[8]
192da6f6b;2;3;1;1;[1, 2]
29ca6f17;1;1;1;1;[8]
233ba6f16;0;0;0;0;[]
125ea6f07;2;22;1;2;[10, 3]
16fa6f75;1;1;1;1;[5]
20ea6e1a;7;91;2;2;[8, 0, 4, 10, 8, 0, 1]
200fa6f17;0;0;0;0;[]
90aa6f1a;4;6;2;1;[2, 8, 5, 9]
52ca6f12;0;0;0;0;[]
122da6dd1;1;1;1;1;[3]
250ba6f17;0;0;0;0;[]
224aa6f0c;3;9;2;1;[8, 3, 9]
183aa6f17;3;21;2;2;[8, 9, 9]
196fa6f6f;1;2;1;1;[7]
114aa6da6;3;8;2;1;[4, 5, 7]
132fa6f07;2;28;1;2;[10, 7]
114ba6f15;0;0;0;0;[]
20da6f7b;1;15;1;2;[8]
114ba6f16;0;0;0;0;[]
250ba6e1b;2;5;1;1;[11, 5]
159ea6e13;4;27;2;2;[5, 8, 8, 7]
192ba6f75;1;2;1;1;[1]
54aa6e12;3;17;2;2;[3, 0, 7]
220aa6f16;1;1;1;1;[0]
75ca6f1f;1;4;1;1;[5]
151aa6f73;4;98;2;2;[2, 3, 2, 9]
82fa6f1b;3;26;2;2;[8, 8, 8]
240fa6f73;0;0;0;0;[]
175ba6f08;0;0;0;0;[]
127fa6f0c;0;0;0;0;[]
205aa6f6d;2;2;1;1;[11, 8]
181da6f1c;1;1;1;1;[1]
128ba6f07;0;0;0;0;[]
184aa6f1c;0;0;0;0;[]
42aa7004;3;25;2;2;[4, 5, 7]
152da7005;1;35;1;2;[7]
158ea700c;0;0;0;0;[]
239da7062;4;121;2;2;[8, 4, 4, 7]
